,State Rank,"States and Washington, D.C.",2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,"Average annual growth rate (current dollars) in 2010-2019, %"
0,,United States,"$65,712","$63,179","$60,336","$57,617","$55,775","$53,657","$52,250","$51,371","$50,502","$50,046",3.07%
1,–,"Washington, D.C.","$92,266","$85,203","$82,372","$75,506","$75,628","$71,648","$67,572","$66,583","$63,124","$60,903",4.72%
2,1,Maryland,"$86,738","$83,242","$80,776","$78,945","$75,847","$73,971","$72,483","$71,122","$70,004","$68,854",2.6%
3,2,Massachusetts,"$85,843","$79,835","$77,385","$75,297","$70,628","$69,160","$66,768","$65,339","$62,859","$62,072",3.67%
4,3,New Jersey,"$85,751","$81,740","$80,088","$76,126","$72,222","$71,919","$70,165","$69,667","$67,458","$67,681",2.66%
5,4,Hawaii,"$83,102","$80,212","$77,765","$74,511","$73,486","$69,592","$68,020","$66,259","$61,821","$63,030",3.12%
6,5,California,"$80,440","$75,277","$71,805","$67,739","$64,500","$61,933","$60,190","$58,328","$57,287","$57,708",3.76%
7,6,Connecticut,"$78,833","$76,348","$74,168","$73,433","$71,346","$70,048","$67,098","$67,276","$65,753","$64,032",2.34%
8,7,Washington,"$78,687","$74,073","$70,979","$67,106","$64,129","$61,366","$58,405","$57,573","$56,835","$55,631",3.93%
9,8,New Hampshire,"$77,933","$74,991","$73,381","$70,936","$70,303","$66,532","$64,230","$63,280","$62,647","$61,042",2.75%
10,9,Colorado,"$77,127","$71,953","$69,117","$65,685","$63,909","$61,303","$58,823","$56,765","$55,387","$54,046",4.03%
11,10,Virginia,"$76,456","$72,577","$71,535","$68,114","$66,262","$64,902","$62,666","$61,741","$61,882","$60,674",2.6%
12,11,Utah,"$75,780","$71,414","$65,358","$65,977","$62,912","$60,922","$59,770","$57,049","$55,869","$54,744",3.68%
13,12,Alaska,"$75,463","$74,346","$73,181","$76,440","$73,355","$71,583","$72,237","$67,712","$67,825","$64,576",1.75%
14,13,Minnesota,"$74,593","$70,315","$68,388","$65,599","$63,488","$61,481","$60,702","$58,906","$56,954","$55,459",3.35%
15,14,New York,"$72,108","$67,844","$64,894","$62,909","$60,850","$58,878","$57,369","$56,448","$55,246","$54,148",3.23%
16,15,Rhode Island,"$71,169","$64,340","$63,870","$60,596","$58,073","$54,891","$55,902","$54,554","$53,636","$52,254",3.49%
17,16,Delaware,"$70,176","$64,805","$62,852","$61,757","$61,255","$59,716","$57,846","$58,415","$58,814","$55,847",2.57%
18,17,Illinois,"$69,187","$65,030","$62,992","$60,960","$59,588","$57,444","$56,210","$55,137","$53,234","$52,972",3.01%
19,18,Oregon,"$67,058","$63,426","$60,212","$57,532","$54,148","$51,075","$50,251","$49,161","$46,816","$46,560",4.14%
20,19,Wyoming,"$65,003","$61,584","$60,434","$59,882","$60,214","$57,055","$58,752","$54,901","$56,322","$53,512",2.18%
21,20,North Dakota,"$64,577","$63,837","$61,843","$60,656","$60,557","$59,029","$55,759","$53,585","$51,704","$48,670",3.19%
22,21,Wisconsin,"$64,168","$60,773","$59,305","$56,811","$55,638","$52,622","$51,467","$51,059","$50,395","$49,001",3.04%
23,22,Texas,"$64,034","$60,629","$59,206","$56,565","$55,653","$53,035","$51,704","$50,740","$49,392","$48,615",3.11%
24,23,Pennsylvania,"$63,463","$60,905","$59,105","$56,907","$55,702","$53,234","$52,007","$51,230","$50,228","$49,288",2.85%
25,24,Nevada,"$63,276","$58,646","$58,003","$55,180","$52,431","$51,450","$51,230","$49,760","$48,927","$51,001",2.43%
26,25,Nebraska,"$63,229","$59,566","$59,970","$56,927","$54,996","$52,686","$51,440","$50,723","$50,296","$48,408",3.01%
27,26,Vermont,"$63,001","$60,782","$57,513","$57,677","$56,990","$54,166","$52,578","$52,977","$52,776","$49,406",2.74%
28,27,Kansas,"$62,087","$58,218","$56,422","$54,935","$53,906","$52,504","$50,972","$50,241","$48,964","$48,257",2.84%
29,28,Arizona,"$62,055","$59,246","$56,581","$53,558","$51,492","$50,068","$48,510","$47,826","$46,709","$46,789",3.19%
30,29,Georgia,"$61,980","$58,756","$56,183","$53,559","$51,244","$49,321","$47,829","$47,209","$46,007","$46,430",3.26%
31,30,Iowa,"$61,691","$59,955","$58,570","$56,247","$54,736","$53,712","$52,229","$50,957","$49,427","$47,961",2.84%
32,31,Idaho,"$60,999","$55,583","$52,225","$51,807","$48,275","$47,861","$46,783","$45,489","$43,341","$43,490",3.83%
33,32,Michigan,"$59,584","$56,697","$54,909","$52,491","$51,084","$49,847","$48,273","$46,859","$45,981","$45,413",3.06%
34,33,South Dakota,"$59,533","$56,274","$56,521","$54,467","$53,017","$50,979","$48,947","$48,362","$48,321","$45,904",2.93%
35,34,Florida,"$59,227","$55,462","$52,594","$50,860","$49,426","$47,463","$46,036","$45,040","$44,299","$44,409",3.25%
36,35,Maine,"$58,924","$55,602","$55,277","$53,079","$51,494","$49,462","$46,974","$46,709","$46,033","$45,815",2.84%
37,36,Ohio,"$58,642","$56,111","$54,021","$52,344","$51,075","$49,308","$48,081","$46,829","$45,749","$45,090",2.96%
38,37,Indiana,"$57,603","$55,746","$54,181","$52,314","$50,532","$49,446","$47,529","$46,974","$46,438","$44,613",2.88%
39,38,Missouri,"$57,409","$54,478","$53,578","$51,746","$50,238","$48,363","$46,931","$45,321","$45,247","$44,301",2.92%
40,39,North Carolina,"$57,341","$53,855","$52,752","$50,584","$47,830","$46,556","$45,906","$45,150","$43,916","$43,326",3.16%
41,40,Montana,"$57,153","$55,328","$53,386","$50,027","$49,509","$46,328","$46,972","$45,076","$44,222","$42,666",3.3%
42,41,South Carolina,"$56,227","$52,306","$50,570","$49,501","$47,238","$45,238","$44,163","$43,107","$42,367","$42,018",3.29%
43,42,Tennessee,"$56,071","$52,375","$51,340","$48,547","$47,275","$44,361","$44,297","$42,764","$41,693","$41,461",3.41%
44,43,Oklahoma,"$54,449","$51,924","$50,051","$49,176","$48,568","$47,529","$45,690","$44,312","$43,225","$42,072",2.91%
45,44,Kentucky,"$52,295","$50,247","$48,375","$46,659","$45,215","$42,958","$43,399","$41,724","$41,141","$40,062",3.01%
46,45,New Mexico,"$51,945","$47,169","$46,744","$46,748","$45,382","$44,803","$43,872","$42,558","$41,963","$42,090",2.37%
47,46,Alabama,"$51,734","$49,861","$48,123","$46,257","$44,765","$42,830","$42,849","$41,574","$41,415","$40,474",2.76%
48,47,Louisiana,"$51,073","$47,905","$46,145","$45,146","$45,727","$44,555","$44,164","$42,944","$41,734","$42,505",2.06%
49,48,Arkansas,"$48,952","$47,062","$45,869","$44,334","$41,995","$41,262","$40,511","$40,112","$38,758","$38,307",2.76%
50,49,West Virginia,"$48,850","$44,097","$43,469","$43,385","$42,019","$41,059","$41,253","$40,196","$38,482","$38,218",2.76%
51,50,Mississippi,"$45,792","$44,717","$43,529","$41,754","$40,593","$39,680","$37,963","$37,095","$36,919","$36,851",2.44%
